province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Kommune Kujalleq,955,32310.0,6.8,12.4,14.0,0.5,P15-F-6 Statistics Greenland NA 2023 + LFS 2024 + Pop 2024
Kommuneqarfik Sermersooq,956,53358.0,4.2,9.7,14.0,0.5,P15-F-6 Statistics Greenland NA 2023 + LFS 2024 + Pop 2024
Qeqqata Kommunia,957,38477.0,5.3,11.8,14.0,0.5,P15-F-6 Statistics Greenland NA 2023 + LFS 2024 + Pop 2024
Avannaata Kommunia,959,33785.0,7.1,10.5,14.0,0.5,P15-F-6 Statistics Greenland NA 2023 + LFS 2024 + Pop 2024
Kommune Qeqertalik,960,32042.0,6.2,11.0,14.0,0.5,P15-F-6 Statistics Greenland NA 2023 + LFS 2024 + Pop 2024
