country,substation_id,action,destination,reason
spain,9000019533,remove,france,duplicate of france 1000139716 at 0.01 m
spain,9000019534,remove,france,duplicate of france 1000139717 at 0.04 m
spain,9000019625,remove,france,duplicate of france 1000139869 at 0.06 m
spain,9000019957,remove,france,duplicate of france 1000140164 at 0.07 m
spain,9000019995,remove,france,duplicate of france 1000140178 at 0.04 m
spain,9000020681,remove,portugal,duplicate of portugal 6000010341 at 0.05 m
spain,9000021063,remove,portugal,duplicate of portugal 6000010925 at 0.03 m
spain,9000021119,remove,portugal,duplicate of portugal 6000011229 at 0.04 m
spain,9000021120,remove,portugal,duplicate of portugal 6000011230 at 0.04 m
spain,9000021127,remove,portugal,duplicate of portugal 6000011237 at 0.04 m
spain,9000021146,remove,portugal,duplicate of portugal 6000011255 at 0.04 m
spain,9000021148,remove,portugal,duplicate of portugal 6000011257 at 0.05 m
spain,9000021149,remove,portugal,duplicate of portugal 6000011258 at 0.03 m
spain,9000021150,remove,portugal,duplicate of portugal 6000011259 at 0.05 m
spain,9000021151,remove,portugal,duplicate of portugal 6000011260 at 0.06 m
spain,9000021171,remove,portugal,duplicate of portugal 6000011279 at 0.03 m
spain,9000021173,remove,portugal,duplicate of portugal 6000011281 at 0.04 m
spain,9000021174,remove,portugal,duplicate of portugal 6000011282 at 0.05 m
spain,9000021175,remove,portugal,duplicate of portugal 6000011283 at 0.05 m
spain,9000021176,remove,portugal,duplicate of portugal 6000011284 at 0.04 m
spain,9000021266,remove,portugal,duplicate of portugal 6000011400 at 0.06 m
spain,9000021271,remove,portugal,duplicate of portugal 6000011405 at 0.06 m
spain,9000021453,remove,portugal,duplicate of portugal 6000011583 at 0.03 m
spain,9000021454,remove,portugal,duplicate of portugal 6000011584 at 0.03 m
spain,9000021461,remove,portugal,duplicate of portugal 6000011591 at 0.04 m
spain,9000021462,remove,portugal,duplicate of portugal 6000011592 at 0.03 m
spain,9000021463,remove,portugal,duplicate of portugal 6000011593 at 0.06 m
spain,9000021464,remove,portugal,duplicate of portugal 6000011594 at 0.02 m
spain,9000021465,remove,portugal,duplicate of portugal 6000011595 at 0.02 m
spain,9000021476,remove,portugal,duplicate of portugal 6000011606 at 0.05 m
spain,9000021571,remove,portugal,duplicate of portugal 6000011683 at 0.04 m
spain,9000021585,remove,portugal,duplicate of portugal 6000011696 at 0.03 m
spain,9000021586,remove,portugal,duplicate of portugal 6000011697 at 0.01 m
spain,9000021589,remove,portugal,duplicate of portugal 6000011700 at 0.01 m
spain,9000021593,remove,portugal,duplicate of portugal 6000011704 at 0.04 m
spain,9000021594,remove,portugal,duplicate of portugal 6000011705 at 0.01 m
spain,9000021598,remove,portugal,duplicate of portugal 6000011706 at 0.04 m
spain,9000021599,remove,portugal,duplicate of portugal 6000011707 at 0.03 m
spain,9000021600,remove,portugal,duplicate of portugal 6000011708 at 0.03 m
spain,9000021601,remove,portugal,duplicate of portugal 6000011709 at 0.02 m
spain,9000021602,remove,portugal,duplicate of portugal 6000011710 at 0.05 m
spain,9000021603,remove,portugal,duplicate of portugal 6000011711 at 0.05 m
spain,9000021604,remove,portugal,duplicate of portugal 6000011712 at 0.02 m
spain,9000021605,remove,portugal,duplicate of portugal 6000011713 at 0.05 m
spain,9000021606,remove,portugal,duplicate of portugal 6000011714 at 0.01 m
spain,9000021607,remove,portugal,duplicate of portugal 6000011715 at 0.03 m
spain,9000021608,remove,portugal,duplicate of portugal 6000011716 at 0.05 m
spain,9000021614,remove,portugal,duplicate of portugal 6000011722 at 0.01 m
spain,9000021637,remove,portugal,duplicate of portugal 6000011741 at 0.06 m
spain,9000021643,remove,portugal,duplicate of portugal 6000011747 at 0.03 m
spain,9000021644,remove,portugal,duplicate of portugal 6000011748 at 0.02 m
spain,9000021662,remove,portugal,duplicate of portugal 6000011766 at 0.06 m
spain,9000021799,remove,portugal,duplicate of portugal 6000011903 at 0.01 m
spain,9000021800,remove,portugal,duplicate of portugal 6000011904 at 0.04 m
spain,9000021801,remove,portugal,duplicate of portugal 6000011905 at 0.04 m
spain,9000021807,remove,portugal,duplicate of portugal 6000011911 at 0.00 m
