country,substation_id,action,destination,reason
australia,AU_104114,remove,,unexplained: 5.4 km outside own territory
australia,AU_105286,remove,,unexplained: 5.5 km outside own territory
austria,AT_105_028,reassign,hungary,new to hungary
austria,AT_205_018,reassign,slovenia,new to slovenia
austria,AT_608_009,reassign,slovenia,new to slovenia
austria,AT_706_036,reassign,italy,new to italy
austria,AT_v43_960a7c09b0e9,remove,germany,duplicate of germany 11000174397 at 0.03 m
austria,AT_v43_c8897384054b,remove,germany,duplicate of germany 11000149026 at 0.05 m
austria,AT_v43_dc9f35e91fd9,remove,germany,duplicate of germany 11000142516 at 0.04 m
belgium,BE_v43_293f4775b12a,remove,france,duplicate of france 1000036777 at 0.06 m
belgium,BE_v43_3b5c97413d12,remove,france,duplicate of france 1000036778 at 0.01 m
belgium,BE_v43_795f1a90a73f,reassign,netherlands,new to netherlands
belgium,BE_v43_8a1d39af693c,remove,germany,duplicate of germany 11000032144 at 0.02 m
canada,CA_1050146661,remove,us,duplicate of us 120000007916 at 0.35 m
canada,CA_1145216139,remove,us,duplicate of us 120000008437 at 0.53 m
canada,CA_1167388565,remove,us,duplicate of us 120000048089 at 0.25 m
canada,CA_1167765971,remove,us,duplicate of us 120000048099 at 0.60 m
canada,CA_1324337282,remove,us,duplicate of us 120000100015 at 0.31 m
canada,CA_1443830852,remove,us,duplicate of us 120000011065 at 0.53 m
canada,CA_1485090096,remove,us,duplicate of us 120000053467 at 0.36 m
canada,CA_163865779,remove,us,duplicate of us 120000036745 at 0.55 m
canada,CA_178196881,remove,us,duplicate of us 120000003198 at 0.67 m
canada,CA_178197181,remove,us,duplicate of us 120000003199 at 0.18 m
canada,CA_682313157,remove,us,duplicate of us 120000006071 at 0.44 m
canada,CA_79293030,remove,us,duplicate of us 120000001227 at 0.10 m
canada,CA_866146997,remove,us,duplicate of us 120000045108 at 0.48 m
canada,CA_894055791,reassign,us,new to us
chile,CL_101088,remove,PE,containing state PE has no fleet in this cohort
france,1000000064,remove,belgium,duplicate of belgium BE_v43_97faac3cbea6 at 0.04 m
france,1000001274,remove,belgium,duplicate of belgium BE_v43_5728da448c49 at 0.05 m
france,1000006592,remove,belgium,duplicate of belgium BE_v43_3f6d06186c21 at 0.02 m
france,1000006593,remove,belgium,duplicate of belgium BE_v43_57d5a3590d31 at 0.05 m
france,1000006594,remove,belgium,duplicate of belgium BE_v43_c9968870c01d at 0.05 m
france,1000010712,remove,belgium,duplicate of belgium BE_13270000201 at 0.04 m
france,1000016957,remove,belgium,duplicate of belgium BE_93212889 at 15.28 m
france,1000019406,reassign,belgium,new to belgium
france,1000022777,remove,belgium,duplicate of belgium BE_135529273 at 7.50 m
france,1000025366,remove,belgium,duplicate of belgium BE_v43_0fffbf1a3eac at 0.06 m
france,1000028702,reassign,belgium,new to belgium
france,1000029060,remove,belgium,duplicate of belgium BE_v43_b531c7c6c467 at 0.02 m
france,1000030709,remove,belgium,duplicate of belgium BE_v43_842b825353cd at 0.05 m
france,1000030864,remove,belgium,duplicate of belgium BE_v43_fd34ac5d22c8 at 0.03 m
france,1000031046,remove,belgium,duplicate of belgium BE_v43_8e7f958208fe at 0.03 m
france,1000031988,remove,belgium,duplicate of belgium BE_v43_43aa17321d26 at 0.02 m
france,1000031995,remove,belgium,duplicate of belgium BE_v43_b832d29ff064 at 0.03 m
france,1000032011,remove,belgium,duplicate of belgium BE_v43_8daba0a3bbad at 0.01 m
france,1000032045,remove,belgium,duplicate of belgium BE_v43_e736402d60d4 at 0.05 m
france,1000032046,remove,belgium,duplicate of belgium BE_v43_865a09b489d1 at 0.03 m
france,1000032047,remove,belgium,duplicate of belgium BE_v43_279efe712380 at 0.07 m
france,1000032064,remove,belgium,duplicate of belgium BE_v43_68a2562f99c5 at 0.04 m
france,1000032068,remove,belgium,duplicate of belgium BE_v43_5eff2ce74533 at 0.05 m
france,1000032069,remove,belgium,duplicate of belgium BE_v43_ed2d0b0d41a7 at 0.03 m
france,1000032176,remove,belgium,duplicate of belgium BE_v43_c81cac8d4c5e at 0.04 m
france,1000032352,remove,belgium,duplicate of belgium BE_v43_20498e7ac1c8 at 0.02 m
france,1000032353,remove,belgium,duplicate of belgium BE_v43_f208d6f190d4 at 0.01 m
france,1000032641,remove,belgium,duplicate of belgium BE_v43_1ebe6120b6f8 at 0.04 m
france,1000032794,remove,belgium,duplicate of belgium BE_v43_9e1897af69dd at 0.06 m
france,1000032795,remove,belgium,duplicate of belgium BE_v43_68f419da2c0e at 0.03 m
france,1000033417,remove,belgium,duplicate of belgium BE_v43_ba422bcea109 at 0.01 m
france,1000033419,remove,belgium,duplicate of belgium BE_v43_cd674381bfe5 at 0.02 m
france,1000033612,remove,belgium,duplicate of belgium BE_427644436 at 6.61 m
france,1000033854,remove,belgium,duplicate of belgium BE_v43_920ab2fef51b at 0.06 m
france,1000033855,remove,belgium,duplicate of belgium BE_v43_e949ca94688e at 0.05 m
france,1000033856,remove,belgium,duplicate of belgium BE_v43_4c44a62df608 at 0.02 m
france,1000033857,remove,belgium,duplicate of belgium BE_v43_44d47db63455 at 0.05 m
france,1000033859,remove,belgium,duplicate of belgium BE_v43_19d9dc8e0650 at 0.03 m
france,1000033875,remove,belgium,duplicate of belgium BE_v43_2bed646cee18 at 0.06 m
france,1000033884,remove,belgium,duplicate of belgium BE_v43_9d2d111c26e3 at 0.03 m
france,1000034033,remove,belgium,duplicate of belgium BE_v43_59b0845d765f at 0.04 m
france,1000034061,remove,belgium,duplicate of belgium BE_v43_dce5ff0b70d2 at 0.01 m
france,1000034063,remove,belgium,duplicate of belgium BE_v43_213eb4128d6f at 0.05 m
france,1000034268,remove,belgium,duplicate of belgium BE_v43_73786bba94e7 at 0.05 m
france,1000034341,remove,belgium,duplicate of belgium BE_v43_83ce58280d30 at 0.05 m
france,1000034342,remove,belgium,duplicate of belgium BE_v43_729932d198af at 0.06 m
france,1000034500,remove,belgium,duplicate of belgium BE_v43_5e69b799c4de at 0.05 m
france,1000034938,remove,belgium,duplicate of belgium BE_v43_d1ad20de8cdf at 0.01 m
france,1000034990,remove,belgium,duplicate of belgium BE_v43_baf8ab1bbcf4 at 0.06 m
france,1000034991,remove,belgium,duplicate of belgium BE_v43_d289c76d6ce8 at 0.04 m
france,1000035133,remove,belgium,duplicate of belgium BE_648567655 at 17.18 m
france,1000035283,remove,belgium,duplicate of belgium BE_v43_0d1fbc5dc56b at 0.05 m
france,1000035284,remove,belgium,duplicate of belgium BE_v43_0db35159552e at 0.02 m
france,1000035285,remove,belgium,duplicate of belgium BE_v43_851361c365d6 at 0.00 m
france,1000035581,remove,belgium,duplicate of belgium BE_687846320 at 0.66 m
france,1000035785,remove,belgium,duplicate of belgium BE_735326328 at 0.84 m
france,1000035789,remove,belgium,duplicate of belgium BE_v43_c633bfb4e327 at 0.04 m
france,1000035847,remove,belgium,duplicate of belgium BE_v43_645afb21bdd7 at 0.04 m
france,1000035848,remove,belgium,duplicate of belgium BE_v43_824c3b885107 at 0.02 m
france,1000035849,remove,belgium,duplicate of belgium BE_v43_4ea4550a21a3 at 0.02 m
france,1000035861,remove,belgium,duplicate of belgium BE_v43_5d4acc083b15 at 0.04 m
france,1000035897,remove,belgium,duplicate of belgium BE_v43_caeccd1ba735 at 0.01 m
france,1000035924,remove,belgium,duplicate of belgium BE_v43_36e1aafdcef3 at 0.06 m
france,1000035980,remove,belgium,duplicate of belgium BE_v43_cd30ec1282c9 at 0.01 m
france,1000035992,remove,belgium,duplicate of belgium BE_770042985 at 0.66 m
france,1000035997,remove,belgium,duplicate of belgium BE_v43_c1f60e2c5fa3 at 0.02 m
france,1000036440,remove,belgium,duplicate of belgium BE_v43_5d9b16fd5a15 at 0.05 m
france,1000036591,remove,belgium,duplicate of belgium BE_v43_4660237b61f0 at 0.05 m
france,1000036592,remove,belgium,duplicate of belgium BE_v43_91e43b6cb62e at 0.06 m
france,1000036616,remove,belgium,duplicate of belgium BE_v43_f8646e59375d at 0.04 m
france,1000036662,remove,belgium,duplicate of belgium BE_v43_2aab5ff7aaf4 at 0.03 m
france,1000036663,remove,belgium,duplicate of belgium BE_v43_3781cad80196 at 0.03 m
france,1000036681,remove,belgium,duplicate of belgium BE_v43_991b0766f85c at 0.02 m
france,1000036682,remove,belgium,duplicate of belgium BE_v43_31e67e0e7c69 at 0.06 m
france,1000036780,remove,belgium,duplicate of belgium BE_v43_ec9bba66ae3d at 0.06 m
france,1000036781,remove,belgium,duplicate of belgium BE_v43_10404ff03ff1 at 0.04 m
france,1000036782,remove,belgium,duplicate of belgium BE_v43_d1da0158d913 at 0.04 m
france,1000036783,remove,belgium,duplicate of belgium BE_v43_c3685c4d0c7f at 0.04 m
france,1000037136,remove,belgium,duplicate of belgium BE_v43_bcecb90bd999 at 0.04 m
france,1000037442,remove,belgium,duplicate of belgium BE_v43_e18248d0a34d at 0.03 m
france,1000037452,remove,belgium,duplicate of belgium BE_v43_e2fef4e68b61 at 0.04 m
france,1000037617,remove,belgium,duplicate of belgium BE_v43_9e2f9b9672ef at 0.02 m
france,1000037768,remove,belgium,duplicate of belgium BE_v43_638836e9364f at 0.06 m
france,1000038108,remove,belgium,duplicate of belgium BE_v43_fba5732ab24b at 0.05 m
france,1000038219,remove,belgium,duplicate of belgium BE_976727854 at 1.23 m
france,1000038267,remove,belgium,duplicate of belgium BE_v43_da13626ed57e at 0.03 m
france,1000038345,remove,belgium,duplicate of belgium BE_v43_7adcfb10a36c at 0.02 m
france,1000038477,remove,belgium,duplicate of belgium BE_v43_48f7e6baeebd at 0.06 m
france,1000039332,remove,belgium,duplicate of belgium BE_v43_eba3b9c098ef at 0.05 m
france,1000039911,remove,belgium,duplicate of belgium BE_v43_6bcd09bcf61d at 0.05 m
france,1000040503,remove,belgium,duplicate of belgium BE_v43_e08b5e3248b1 at 0.03 m
france,1000040693,remove,belgium,duplicate of belgium BE_v43_8af3e392653d at 0.04 m
france,1000041082,remove,belgium,duplicate of belgium BE_v43_2a1133a02444 at 0.03 m
france,1000041085,remove,belgium,duplicate of belgium BE_v43_516285a61cd0 at 0.03 m
france,1000041086,reassign,belgium,new to belgium
france,1000041121,remove,belgium,duplicate of belgium BE_v43_ae6434f46332 at 0.03 m
france,1000041127,remove,belgium,duplicate of belgium BE_v43_85e2a2b171e8 at 0.02 m
france,1000041145,remove,belgium,duplicate of belgium BE_v43_21ff1899b8b1 at 0.01 m
france,1000041146,remove,belgium,duplicate of belgium BE_v43_bb4d59609ecf at 0.03 m
france,1000041347,remove,belgium,duplicate of belgium BE_v43_16780c18b318 at 0.04 m
france,1000041960,remove,belgium,duplicate of belgium BE_v43_ce9798d4ad83 at 0.03 m
france,1000041961,remove,belgium,duplicate of belgium BE_v43_ac9c56a1beaa at 0.03 m
france,1000041983,remove,belgium,duplicate of belgium BE_v43_a49abbce9acf at 0.05 m
france,1000042396,remove,belgium,duplicate of belgium BE_v43_74348d3ddf6e at 0.03 m
france,1000042541,remove,belgium,duplicate of belgium BE_v43_92276b6214ea at 0.05 m
france,1000043193,reassign,belgium,new to belgium
france,1000043966,reassign,belgium,new to belgium
france,1000100703,remove,spain,duplicate of spain 9000000102 at 0.06 m
france,1000105105,remove,spain,duplicate of spain 9000001670 at 0.04 m
france,1000105106,remove,spain,duplicate of spain 9000001671 at 0.06 m
france,1000109104,remove,italy,duplicate of italy 7000001219 at 0.05 m
france,1000120859,remove,italy,duplicate of italy 7000009909 at 0.01 m
france,1000120893,remove,italy,duplicate of italy 7000009967 at 0.03 m
france,1000126266,remove,spain,duplicate of spain 9000010216 at 0.05 m
france,1000127039,remove,spain,duplicate of spain 9000010404 at 0.05 m
france,1000127521,remove,spain,duplicate of spain 9000010680 at 0.04 m
france,1000129016,remove,spain,duplicate of spain 9000011348 at 0.03 m
france,1000129911,remove,spain,duplicate of spain 9000011936 at 0.03 m
france,1000130002,remove,italy,duplicate of italy 7000014794 at 0.07 m
france,1000131297,remove,spain,duplicate of spain 9000012786 at 0.05 m
france,1000133631,remove,spain,duplicate of spain 9000014661 at 0.01 m
france,1000133632,remove,spain,duplicate of spain 9000014662 at 0.06 m
france,1000133633,remove,spain,duplicate of spain 9000014663 at 0.04 m
france,1000133679,remove,spain,duplicate of spain 9000014713 at 0.05 m
france,1000134100,remove,spain,duplicate of spain 9000014963 at 0.04 m
france,1000134109,remove,spain,duplicate of spain 9000014978 at 0.05 m
france,1000134110,remove,spain,duplicate of spain 9000014979 at 0.05 m
france,1000134111,remove,spain,duplicate of spain 9000014980 at 0.05 m
france,1000135045,remove,spain,duplicate of spain 9000015504 at 0.03 m
france,1000135046,remove,spain,duplicate of spain 9000015505 at 0.05 m
france,1000135643,remove,spain,duplicate of spain 9000015867 at 0.04 m
france,1000136044,remove,spain,duplicate of spain 9000016033 at 0.01 m
france,1000136644,remove,spain,duplicate of spain 9000016282 at 0.06 m
france,1000136815,remove,spain,duplicate of spain 9000016384 at 0.05 m
france,1000136928,remove,spain,duplicate of spain 9000016475 at 0.03 m
france,1000137153,remove,spain,duplicate of spain 9000016728 at 0.02 m
france,1000137154,remove,spain,duplicate of spain 9000016729 at 0.04 m
france,1000137155,remove,spain,duplicate of spain 9000016730 at 0.04 m
france,1000137156,remove,spain,duplicate of spain 9000016731 at 0.06 m
france,1000137179,remove,spain,duplicate of spain 9000016737 at 0.01 m
france,1000137214,remove,spain,duplicate of spain 9000016761 at 0.05 m
france,1000138003,remove,spain,duplicate of spain 9000018354 at 0.02 m
france,1000140059,remove,spain,duplicate of spain 9000019826 at 0.06 m
france,1000162064,remove,germany,duplicate of germany 11000132237 at 0.02 m
france,1000162065,remove,germany,duplicate of germany 11000132238 at 0.02 m
france,1000162067,remove,germany,duplicate of germany 11000132248 at 0.04 m
france,1000162068,remove,germany,duplicate of germany 11000132249 at 0.06 m
france,1000162072,remove,germany,duplicate of germany 11000132267 at 0.04 m
france,1000162087,remove,germany,duplicate of germany 11000132322 at 0.02 m
france,1000162088,remove,germany,duplicate of germany 11000132323 at 0.04 m
france,1000162093,remove,germany,duplicate of germany 11000132358 at 0.03 m
france,1000162098,remove,germany,duplicate of germany 11000132370 at 0.04 m
france,1000162107,remove,germany,duplicate of germany 11000132405 at 0.02 m
france,1000162128,remove,germany,duplicate of germany 11000132453 at 0.05 m
france,1000162131,remove,germany,duplicate of germany 11000132459 at 0.03 m
france,1000162160,remove,germany,duplicate of germany 11000132525 at 0.06 m
france,1000162161,remove,germany,duplicate of germany 11000132526 at 0.05 m
france,1000162217,remove,germany,duplicate of germany 11000132655 at 0.02 m
france,1000162218,remove,germany,duplicate of germany 11000132658 at 0.04 m
france,1000162219,remove,germany,duplicate of germany 11000132659 at 0.03 m
france,1000162220,remove,germany,duplicate of germany 11000132660 at 0.02 m
france,1000162225,remove,germany,duplicate of germany 11000025078 at 0.00 m
france,1000162226,remove,germany,duplicate of germany 11000132678 at 0.03 m
france,1000162228,remove,germany,duplicate of germany 11000132692 at 0.05 m
france,1000162235,remove,germany,duplicate of germany 11000132725 at 0.03 m
france,1000162268,remove,germany,duplicate of germany 11000132883 at 0.01 m
france,1000162304,remove,germany,duplicate of germany 11000133114 at 0.05 m
france,1000162314,remove,germany,duplicate of germany 11000133163 at 0.04 m
france,1000162337,remove,germany,duplicate of germany 11000133313 at 0.04 m
france,1000162357,remove,germany,duplicate of germany 11000133517 at 0.03 m
france,1000162362,remove,germany,duplicate of germany 11000133529 at 0.02 m
france,1000162381,remove,germany,duplicate of germany 11000133601 at 0.04 m
france,1000162389,remove,germany,duplicate of germany 11000133645 at 0.05 m
france,1000162396,remove,germany,duplicate of germany 11000133678 at 0.03 m
france,1000162397,remove,germany,duplicate of germany 11000133681 at 0.05 m
france,1000162520,remove,germany,duplicate of germany 11000134069 at 0.04 m
france,1000162548,remove,germany,duplicate of germany 11000026262 at 0.05 m
france,1000162549,remove,germany,duplicate of germany 11000026263 at 0.04 m
france,1000162603,remove,germany,duplicate of germany 11000134417 at 0.03 m
france,1000162684,remove,germany,duplicate of germany 11000134927 at 0.05 m
france,1000162910,remove,germany,duplicate of germany 11000135840 at 0.01 m
france,1000162927,remove,germany,duplicate of germany 11000135895 at 0.04 m
france,1000162956,remove,germany,duplicate of germany 11000135924 at 0.03 m
france,1000163113,remove,germany,duplicate of germany 11000136184 at 0.04 m
france,1000163197,remove,germany,duplicate of germany 11000136323 at 0.02 m
france,1000163381,remove,germany,duplicate of germany 11000136619 at 0.05 m
france,1000163781,remove,germany,duplicate of germany 11000137025 at 0.06 m
france,1000163796,remove,germany,duplicate of germany 11000137034 at 0.02 m
france,1000163868,remove,germany,duplicate of germany 11000028761 at 0.02 m
france,1000163912,remove,germany,duplicate of germany 11000028871 at 0.05 m
france,1000164045,remove,germany,duplicate of germany 11000137158 at 0.04 m
france,1000164176,remove,germany,duplicate of germany 11000137242 at 0.05 m
france,1000164198,reassign,switzerland,new to switzerland
france,1000164639,reassign,switzerland,new to switzerland
france,1000165714,reassign,switzerland,new to switzerland
france,1000165961,remove,germany,duplicate of germany 11000138280 at 0.04 m
france,1000165997,remove,germany,duplicate of germany 11000138328 at 0.03 m
france,1000166012,remove,switzerland,duplicate of switzerland CH_v43_01b8ede69c42 at 0.04 m
france,1000166050,remove,switzerland,duplicate of switzerland CH_v43_fa61ddfc50b3 at 0.03 m
france,1000166051,reassign,switzerland,new to switzerland; nearest existing 119.8 m
france,1000166060,remove,switzerland,duplicate of switzerland CH_v43_8da913585c3e at 0.01 m
france,1000166061,remove,switzerland,duplicate of switzerland CH_v43_8347ea17738d at 0.01 m
france,1000166065,remove,switzerland,duplicate of switzerland CH_v43_ac1d6b2f89ad at 0.05 m
france,1000166067,remove,switzerland,duplicate of switzerland CH_v43_327382f8979c at 0.05 m
france,1000166072,remove,switzerland,duplicate of switzerland CH_v43_ba4f0dc0df3c at 0.02 m
france,1000166077,reassign,switzerland,new to switzerland
france,1000166116,reassign,switzerland,new to switzerland
france,1000166159,remove,germany,duplicate of germany 11000138514 at 0.01 m
france,1000166177,remove,switzerland,duplicate of switzerland CH_v43_734b82c71b66 at 0.05 m
france,1000166355,reassign,switzerland,new to switzerland
france,1000166734,remove,switzerland,duplicate of switzerland CH_10607020327 at 2.26 m
france,1000166799,remove,germany,duplicate of germany 11000032359 at 0.02 m
france,1000166871,remove,germany,duplicate of germany 11000140637 at 0.02 m
france,1000167582,remove,germany,duplicate of germany 11000142381 at 0.06 m
france,1000167598,remove,germany,duplicate of germany 11000142391 at 0.02 m
france,1000168295,remove,germany,duplicate of germany 11000142589 at 0.01 m
france,1000168716,reassign,switzerland,new to switzerland
france,1000168736,reassign,switzerland,new to switzerland
france,1000168878,remove,germany,duplicate of germany 11000035930 at 0.05 m
france,1000168989,remove,switzerland,duplicate of switzerland CH_v43_8957e59dbd35 at 0.04 m
france,1000169193,remove,switzerland,duplicate of switzerland CH_v43_16cbf75907be at 0.03 m
france,1000169577,remove,germany,duplicate of germany 11000144283 at 0.03 m
france,1000169628,remove,switzerland,duplicate of switzerland CH_37187559 at 5.25 m
france,1000169629,remove,germany,duplicate of germany 11000144359 at 0.03 m
france,1000169630,remove,germany,duplicate of germany 11000144360 at 0.02 m
france,1000169785,remove,germany,duplicate of germany 11000144612 at 0.06 m
france,1000169837,remove,germany,duplicate of germany 11000144656 at 0.02 m
france,1000169851,remove,germany,duplicate of germany 11000144676 at 0.03 m
france,1000169852,remove,germany,duplicate of germany 11000144677 at 0.02 m
france,1000169853,remove,germany,duplicate of germany 11000144678 at 0.01 m
france,1000169854,remove,germany,duplicate of germany 11000144679 at 0.04 m
france,1000169861,remove,germany,duplicate of germany 11000144687 at 0.03 m
france,1000169862,remove,germany,duplicate of germany 11000144688 at 0.05 m
france,1000169869,remove,germany,duplicate of germany 11000144697 at 0.04 m
france,1000169913,remove,germany,duplicate of germany 11000144753 at 0.02 m
france,1000169917,remove,germany,duplicate of germany 11000144756 at 0.05 m
france,1000170021,remove,germany,duplicate of germany 11000144859 at 0.06 m
france,1000170036,remove,germany,duplicate of germany 11000144867 at 0.05 m
france,1000170084,remove,germany,duplicate of germany 11000144946 at 0.04 m
france,1000170085,remove,germany,duplicate of germany 11000144951 at 0.06 m
france,1000170091,remove,germany,duplicate of germany 11000144966 at 0.04 m
france,1000170092,remove,germany,duplicate of germany 11000144967 at 0.03 m
france,1000170102,remove,germany,duplicate of germany 11000144979 at 0.06 m
france,1000170149,remove,switzerland,duplicate of switzerland CH_55696868 at 6.05 m
france,1000170179,remove,switzerland,duplicate of switzerland CH_v43_f3b5b2427067 at 0.07 m
france,1000170180,remove,switzerland,duplicate of switzerland CH_v43_42b9b34cd7ee at 0.01 m
france,1000170211,remove,germany,duplicate of germany 11000145178 at 0.03 m
france,1000170225,remove,germany,duplicate of germany 11000145192 at 0.04 m
france,1000170232,remove,germany,duplicate of germany 11000145195 at 0.04 m
france,1000170245,remove,germany,duplicate of germany 11000145222 at 0.05 m
france,1000170247,remove,germany,duplicate of germany 11000145227 at 0.00 m
france,1000170249,remove,germany,duplicate of germany 11000145233 at 0.03 m
france,1000170252,remove,germany,duplicate of germany 11000145239 at 0.05 m
france,1000170258,remove,germany,duplicate of germany 11000145250 at 0.04 m
france,1000170273,remove,germany,duplicate of germany 11000145270 at 0.02 m
france,1000170926,remove,germany,duplicate of germany 11000145363 at 0.03 m
france,1000170927,remove,germany,duplicate of germany 11000145364 at 0.02 m
france,1000171071,remove,germany,duplicate of germany 11000145382 at 0.05 m
france,1000171072,remove,germany,duplicate of germany 11000145387 at 0.05 m
france,1000171530,remove,germany,duplicate of germany 11000145495 at 0.05 m
france,1000171536,remove,germany,duplicate of germany 11000145509 at 0.05 m
france,1000171537,remove,germany,duplicate of germany 11000145510 at 0.02 m
france,1000171842,remove,switzerland,duplicate of switzerland CH_80323449 at 3.84 m
france,1000171927,remove,germany,duplicate of germany 11000145615 at 0.05 m
france,1000172236,remove,germany,duplicate of germany 11000145730 at 0.02 m
france,1000172450,remove,germany,duplicate of germany 11000145815 at 0.05 m
france,1000173828,reassign,switzerland,new to switzerland
france,1000173829,reassign,switzerland,new to switzerland
france,1000173857,remove,switzerland,duplicate of switzerland CH_v43_2833404f4e25 at 0.06 m
france,1000173858,remove,germany,duplicate of germany 11000039113 at 0.02 m
france,1000173967,remove,germany,duplicate of germany 11000146741 at 0.02 m
france,1000173968,remove,germany,duplicate of germany 11000146742 at 0.03 m
france,1000173984,remove,germany,duplicate of germany 11000146766 at 0.03 m
france,1000174036,remove,switzerland,duplicate of switzerland CH_109901534 at 3.54 m
france,1000174453,remove,germany,duplicate of germany 11000147052 at 0.05 m
france,1000174464,remove,germany,duplicate of germany 11000147067 at 0.01 m
france,1000174650,remove,germany,duplicate of germany 11000147176 at 0.03 m
france,1000174733,remove,switzerland,duplicate of switzerland CH_v43_e33191b0631b at 0.01 m
france,1000174814,remove,germany,duplicate of germany 11000147236 at 0.01 m
france,1000174815,remove,germany,duplicate of germany 11000147237 at 0.07 m
france,1000174873,remove,germany,duplicate of germany 11000147283 at 0.04 m
france,1000174902,remove,germany,duplicate of germany 11000147309 at 0.05 m
france,1000174952,remove,germany,duplicate of germany 11000147396 at 0.02 m
france,1000174983,remove,germany,duplicate of germany 11000147466 at 0.04 m
france,1000175180,remove,germany,duplicate of germany 11000147623 at 0.01 m
france,1000175225,remove,switzerland,duplicate of switzerland CH_132373704 at 3.67 m
france,1000175320,remove,germany,duplicate of germany 11000147718 at 0.02 m
france,1000175369,remove,germany,duplicate of germany 11000039896 at 0.01 m
france,1000175370,remove,germany,duplicate of germany 11000039897 at 0.06 m
france,1000175539,remove,switzerland,duplicate of switzerland CH_v43_881e096ccdb2 at 0.05 m
france,1000175881,remove,germany,duplicate of germany 11000148147 at 0.02 m
france,1000175989,remove,germany,duplicate of germany 11000040362 at 0.03 m
france,1000176054,remove,germany,duplicate of germany 11000040424 at 0.03 m
france,1000176074,remove,germany,duplicate of germany 11000040434 at 0.03 m
france,1000176100,remove,germany,duplicate of germany 11000148402 at 0.01 m
france,1000176118,remove,germany,duplicate of germany 11000148417 at 0.03 m
france,1000176150,remove,germany,duplicate of germany 11000148480 at 0.06 m
france,1000176419,remove,germany,duplicate of germany 11000148720 at 0.04 m
france,1000176470,remove,germany,duplicate of germany 11000148793 at 0.01 m
france,1000176736,remove,germany,duplicate of germany 11000041055 at 0.02 m
france,1000176810,remove,germany,duplicate of germany 11000041167 at 0.03 m
france,1000176811,remove,germany,duplicate of germany 11000041168 at 0.06 m
france,1000176812,remove,germany,duplicate of germany 11000041169 at 0.04 m
france,1000176872,remove,switzerland,duplicate of switzerland CH_164271748 at 2.48 m
france,1000177439,remove,switzerland,duplicate of switzerland CH_177392130 at 4.19 m
france,1000178198,remove,germany,duplicate of germany 11000150651 at 0.03 m
france,1000178257,remove,germany,duplicate of germany 11000150725 at 0.03 m
france,1000178260,remove,germany,duplicate of germany 11000150746 at 0.01 m
france,1000178261,remove,germany,duplicate of germany 11000150750 at 0.04 m
france,1000178303,remove,germany,duplicate of germany 11000150800 at 0.04 m
france,1000178330,remove,switzerland,duplicate of switzerland CH_v43_f519a00563f2 at 0.06 m
france,1000178333,remove,germany,duplicate of germany 11000150866 at 0.02 m
france,1000178421,remove,germany,duplicate of germany 11000150886 at 0.02 m
france,1000178433,remove,germany,duplicate of germany 11000043122 at 0.05 m
france,1000178434,remove,germany,duplicate of germany 11000043123 at 0.02 m
france,1000178455,remove,germany,duplicate of germany 11000150936 at 0.03 m
france,1000178495,remove,germany,duplicate of germany 11000151030 at 0.06 m
france,1000178503,remove,germany,duplicate of germany 11000151045 at 0.05 m
france,1000178511,reassign,switzerland,new to switzerland
france,1000178837,remove,germany,duplicate of germany 11000151364 at 0.04 m
france,1000178980,remove,germany,duplicate of germany 11000151491 at 0.04 m
france,1000179032,remove,switzerland,duplicate of switzerland CH_205630031 at 5.76 m
france,1000179098,reassign,switzerland,new to switzerland
france,1000179100,reassign,switzerland,new to switzerland
france,1000179102,remove,germany,duplicate of germany 11000151674 at 0.05 m
france,1000179511,remove,germany,duplicate of germany 11000152615 at 0.02 m
france,1000180297,remove,switzerland,duplicate of switzerland CH_238138373 at 3.78 m
france,1000180327,remove,switzerland,duplicate of switzerland CH_239937062 at 4.25 m
france,1000180334,remove,germany,duplicate of germany 11000154159 at 0.04 m
france,1000180347,remove,switzerland,duplicate of switzerland CH_241592047 at 3.40 m
france,1000180491,remove,germany,duplicate of germany 11000154541 at 0.03 m
france,1000181043,remove,switzerland,duplicate of switzerland CH_254216908 at 1.81 m
france,1000181059,remove,germany,duplicate of germany 11000155091 at 0.03 m
france,1000181216,remove,germany,duplicate of germany 11000155764 at 0.07 m
france,1000181225,remove,germany,duplicate of germany 11000155830 at 0.05 m
france,1000181246,remove,germany,duplicate of germany 11000155947 at 0.06 m
france,1000181248,remove,germany,duplicate of germany 11000155957 at 0.04 m
france,1000181283,remove,germany,duplicate of germany 11000156067 at 0.04 m
france,1000181334,remove,germany,duplicate of germany 11000046763 at 0.05 m
france,1000181473,remove,switzerland,duplicate of switzerland CH_285133012 at 1.76 m
france,1000181500,remove,germany,duplicate of germany 11000156752 at 0.06 m
france,1000181501,remove,germany,duplicate of germany 11000156753 at 0.02 m
france,1000181566,remove,switzerland,duplicate of switzerland CH_289828260 at 0.96 m
france,1000181662,remove,germany,duplicate of germany 11000157109 at 0.01 m
france,1000181669,remove,germany,duplicate of germany 11000157133 at 0.05 m
france,1000181670,remove,germany,duplicate of germany 11000157135 at 0.01 m
france,1000181675,remove,germany,duplicate of germany 11000048304 at 0.03 m
france,1000181760,remove,germany,duplicate of germany 11000157386 at 0.03 m
france,1000181801,remove,germany,duplicate of germany 11000157415 at 0.01 m
france,1000181822,remove,germany,duplicate of germany 11000157497 at 0.04 m
