province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Australian Capital Territory,ACT,74755.0,3.5,13.6,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
New South Wales,NSW,59369.0,4.0,17.4,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
Northern Territory,NT,62500.0,4.3,8.4,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
Queensland,QLD,58363.0,4.5,16.9,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
South Australia,SA,50462.0,4.1,19.0,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
Tasmania,TAS,46208.0,4.4,21.6,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
Victoria,VIC,54677.0,4.5,16.5,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
Western Australia,WA,91656.0,4.0,16.0,13.0,0.5,"P15-F-4 ABS 5220.0 + 6202.0 + 3101.0 (state-of-record, 2024)"
