province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
San José,1,16490.0,7.2,11.5,18.0,0.5,P15-F-6 BCCR CN 2023 + INEC ECE Q4 2024 + Censo 2022 proj 2024
Alajuela,2,13698.0,7.8,11.2,18.0,0.5,P15-F-6 BCCR CN 2023 + INEC ECE Q4 2024 + Censo 2022 proj 2024
Cartago,3,14262.0,6.9,11.6,18.0,0.5,P15-F-6 BCCR CN 2023 + INEC ECE Q4 2024 + Censo 2022 proj 2024
Heredia,4,16859.0,6.5,12.0,18.0,0.5,P15-F-6 BCCR CN 2023 + INEC ECE Q4 2024 + Censo 2022 proj 2024
Guanacaste,5,12243.0,9.2,11.8,18.0,0.5,P15-F-6 BCCR CN 2023 + INEC ECE Q4 2024 + Censo 2022 proj 2024
Puntarenas,6,10928.0,8.7,11.5,18.0,0.5,P15-F-6 BCCR CN 2023 + INEC ECE Q4 2024 + Censo 2022 proj 2024
Limón,7,10389.0,9.4,9.3,18.0,0.5,P15-F-6 BCCR CN 2023 + INEC ECE Q4 2024 + Censo 2022 proj 2024
