province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Jerusalem,1,37084.0,4.6,9.2,9.0,0.5,P15-F-6 CBS Stat Abstract 2024 Tab 14.5 + LFS Q4 2024
Northern,2,33079.0,3.5,11.3,9.0,0.5,P15-F-6 CBS Stat Abstract 2024 Tab 14.5 + LFS Q4 2024
Haifa,3,44530.0,3.2,16.7,9.0,0.5,P15-F-6 CBS Stat Abstract 2024 Tab 14.5 + LFS Q4 2024
Central,4,49397.0,2.8,13.2,9.0,0.5,P15-F-6 CBS Stat Abstract 2024 Tab 14.5 + LFS Q4 2024
Tel Aviv,5,71813.0,3.4,14.6,9.0,0.5,P15-F-6 CBS Stat Abstract 2024 Tab 14.5 + LFS Q4 2024
Southern,6,37961.0,3.7,11.8,9.0,0.5,P15-F-6 CBS Stat Abstract 2024 Tab 14.5 + LFS Q4 2024
Judea and Samaria,7,30320.0,3.0,5.4,9.0,0.5,P15-F-6 CBS Stat Abstract 2024 Tab 14.5 + LFS Q4 2024
