province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Höfuðborgarsvæðið (Capital Region),0,75975.0,3.0,14.5,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
Suðurnes (Southern Peninsula),1,65673.0,3.8,12.8,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
Vesturland (West),2,58591.0,3.5,18.5,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
Vestfirðir (Westfjords),3,56015.0,3.0,19.2,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
Norðurland vestra (Northwest),4,56659.0,3.2,20.4,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
Norðurland eystra (Northeast),5,60522.0,3.5,17.6,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
Austurland (East),6,61166.0,3.3,17.8,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
Suðurland (South),7,59235.0,3.4,18.0,5.0,0.5,P15-F-6 Hagstofa Þjóðhagsreikningar + VMS + Mannfjöldi (2024)
